                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.2002,                 2.3778,                 1.5007,                 1.3875,                0.40639,                  0.196,                0.20489,                0.09344,                0.36089,                   0.18,                0.17612,                 0.0869,                  1.974,                 3.8906,                 2.9919,                  1.949,              0.0016502,              0.0016502,              0.0016502
                     55,                 1.1495,                 2.0857,                 1.4758,                 1.3337,                0.36731,                  0.236,                0.22023,                0.09382,                0.29477,                  0.228,                0.18343,                 0.0885,                 1.9953,                   3.84,                 3.0248,                 1.9547,              0.0016436,              0.0016436,              0.0016436
                     56,                 1.0964,                 1.9763,                 1.3542,                 1.2776,                 0.3664,                  0.344,                0.23886,                0.10057,                0.31178,                  0.292,                0.19527,                0.08413,                  1.998,                 3.7449,                 2.9909,                 1.9562,               0.001637,               0.001637,               0.001637
                     57,                 1.0741,                 2.2101,                 1.4072,                 1.2995,                0.42231,                   0.26,                0.22893,                0.09536,                0.35526,                  0.244,                0.18754,                 0.0751,                 2.0958,                 3.7326,                  3.003,                 2.0398,              0.0016304,              0.0016304,              0.0016304
                     58,                 1.1866,                 2.2103,                 1.3715,                 1.3414,                0.34873,                  0.332,                0.23017,                0.09489,                0.33634,                  0.288,                0.21714,                 0.0861,                 2.0696,                 3.8651,                 3.2146,                 2.0682,              0.0016238,              0.0016238,              0.0016238
                     59,                 1.0688,                 2.1074,                 1.3726,                 1.3288,                  0.409,                  0.292,                0.25595,                0.10822,                0.40157,                  0.276,                0.23617,                0.10067,                 2.0303,                 3.9001,                 3.1126,                 2.0022,              0.0016172,              0.0016172,              0.0016172
                     60,                 1.0677,                 1.9295,                  1.382,                 1.2731,                 0.3583,                  0.264,                0.20317,                0.08974,                0.31882,                  0.232,                0.18713,                0.07488,                 2.0303,                 4.1102,                 3.0629,                 1.9605,              0.0016106,              0.0016106,              0.0016106
                     61,                 1.0663,                  2.012,                 1.3295,                 1.2932,                0.33263,                   0.32,                0.23156,                0.09785,                0.33307,                 0.2557,                0.20191,                0.08359,                 2.0046,                 3.8937,                 2.8329,                 1.9327,               0.001604,               0.001604,               0.001604
                     62,                 1.0724,                 2.1084,                 1.4148,                 1.2749,                0.29248,                  0.276,                0.17438,                0.07019,                0.27015,                  0.236,                0.14596,                0.05855,                 2.0786,                 3.8923,                  2.907,                  1.961,              0.0015974,              0.0015974,              0.0015974
                     63,                  1.135,                 2.4173,                 1.4775,                 1.3446,                0.27891,                    0.2,                0.13391,                0.05558,                0.26218,                  0.188,                0.11704,                0.04285,                 2.1861,                 4.0398,                 3.2651,                 2.0455,              0.0015908,              0.0015908,              0.0015908
                     64,                 1.0371,                 1.8999,                 1.2737,                  1.263,                0.35462,                0.30771,                 0.2025,                0.08063,                0.37999,                  0.248,                0.18685,                0.07844,                 1.9977,                 4.0407,                 3.0617,                  1.904,              0.0015842,              0.0015842,              0.0015842
                     65,                  1.015,                 2.0587,                 1.2894,                 1.2598,                0.36978,                0.27695,                0.18348,                0.07395,                0.37527,                  0.252,                0.17155,                0.07334,                 1.9838,                 4.3431,                 3.2034,                 1.9127,              0.0015776,              0.0015776,              0.0015776
                     66,                0.93078,                 1.8476,                 1.1675,                 1.1876,                0.36129,                  0.308,                0.21953,                0.09955,                 0.3711,                0.28088,                0.20935,                0.08893,                 1.9646,                  4.156,                 3.1648,                 1.9222,               0.001571,               0.001571,               0.001571
                     67,                 1.0523,                 1.9452,                 1.2678,                 1.2566,                0.34713,                   0.34,                0.25637,                0.11527,                0.41797,                0.25279,                0.22711,                0.10309,                 1.9186,                 4.3105,                 2.8904,                 1.8997,              0.0015644,              0.0015644,              0.0015644
                     68,                0.98436,                 2.0848,                 1.3338,                 1.3175,                0.45057,                  0.284,                0.24242,                0.10952,                0.41331,                  0.268,                0.21281,                0.09834,                 1.9145,                 4.6058,                 3.0061,                 1.8819,              0.0015578,              0.0015578,              0.0015578
                     69,                 1.0179,                 1.9535,                 1.1838,                 1.2818,                0.40277,                  0.276,                0.20911,                0.09518,                0.38179,                   0.24,                0.18886,                0.08828,                 1.9694,                 4.8243,                 3.1435,                 1.9208,              0.0015512,              0.0015512,              0.0015512
                     70,                0.98646,                 1.9391,                 1.1945,                 1.2848,                0.58741,                  0.224,                0.22514,                0.10249,                0.52372,                  0.236,                0.21943,                0.09197,                 1.8893,                 4.8534,                 3.0011,                   1.83,              0.0015446,              0.0015446,              0.0015446
                     71,                 1.0061,                 2.0736,                 1.2114,                 1.2367,                0.39021,                  0.288,                0.21701,                0.09796,                0.39578,                0.25416,                0.21399,                0.08905,                 1.9125,                 4.8004,                 2.9596,                 1.8956,               0.001538,               0.001538,               0.001538
                     72,                0.96347,                 1.9045,                 1.2117,                 1.2536,                 0.2838,                  0.184,                  0.121,                0.04757,                0.27146,                  0.176,                  0.112,                0.04392,                 2.3533,                 4.8545,                 3.7252,                   2.31,              0.0015314,              0.0015314,              0.0015314
                     73,                 1.0568,                 2.1746,                 1.3254,                 1.3455,                0.26278,                  0.148,                0.09809,                0.03611,                 0.2958,                  0.144,                0.09154,                0.03739,                  2.391,                  4.767,                 3.9369,                 2.3553,              0.0015248,              0.0015248,              0.0015248
                     74,                 1.0499,                 2.2272,                 1.4381,                 1.3151,                0.33286,                  0.212,                 0.1425,                0.06126,                0.34024,                  0.208,                0.15169,                0.06699,                 2.0666,                 4.3283,                 3.4285,                 2.0311,              0.0015182,              0.0015182,              0.0015182
                     75,                 1.0585,                 2.1932,                 1.2955,                 1.2975,                0.34849,                  0.232,                 0.1712,                0.07848,                0.41272,                  0.244,                0.18711,                 0.0866,                 1.9753,                 4.1863,                 3.2818,                 1.9638,              0.0015116,              0.0015116,              0.0015116
                     76,                0.98584,                 2.0477,                 1.1603,                 1.2352,                0.31374,                   0.24,                0.16316,                0.07565,                0.31807,                  0.192,                 0.1506,                0.07012,                 2.0207,                  4.105,                 3.5223,                 2.0192,               0.001505,               0.001505,               0.001505
                     77,                 1.0975,                  2.033,                 1.3766,                 1.2946,                0.32125,                  0.228,                0.16006,                0.06602,                0.28045,                0.18241,                0.13796,                 0.0621,                 2.0501,                 4.1136,                 3.5869,                 2.0471,              0.0014984,              0.0014984,              0.0014984
                     78,                 1.0666,                 2.0934,                  1.232,                 1.2409,                0.37447,                  0.288,                0.21148,                0.08766,                0.36521,                  0.264,                0.20188,                0.08534,                 2.0002,                 3.9205,                 2.9358,                 1.9726,              0.0014918,              0.0014918,              0.0014918
                     79,                  0.992,                 1.9311,                 1.1727,                 1.2529,                0.32299,                  0.292,                0.19346,                0.08485,                0.33271,                   0.26,                0.18362,                0.08234,                 2.0168,                 4.0256,                 3.2084,                 1.9968,              0.0014852,              0.0014852,              0.0014852
                     80,                 1.1037,                 2.3327,                 1.3637,                 1.3608,                0.32647,                  0.248,                0.15991,                0.07348,                0.30892,                   0.22,                0.14618,                0.06665,                 2.0798,                 4.2142,                 3.5651,                 2.0243,              0.0014786,              0.0014786,              0.0014786
                     81,                 1.0547,                 2.1406,                  1.337,                 1.2813,                0.34417,                  0.264,                0.17037,                0.07936,                0.34994,                  0.252,                0.17517,                0.07339,                 2.0076,                 4.1076,                  3.368,                 1.9538,               0.001472,               0.001472,               0.001472
                     82,                0.97567,                 1.9552,                 1.1886,                 1.2424,                0.40849,                0.21546,                   0.18,                0.08421,                0.38011,                  0.204,                0.17398,                0.08105,                 2.0103,                 3.8377,                 3.4647,                 1.9793,              0.0014654,              0.0014654,              0.0014654
                     83,                0.99632,                  2.103,                 1.1996,                 1.2975,                0.38505,                  0.236,                0.18366,                 0.0885,                0.37722,                  0.224,                0.16452,                0.07943,                  1.971,                 3.9357,                 3.4562,                 1.9272,              0.0014588,              0.0014588,              0.0014588
                     84,                0.97582,                  1.791,                 1.1795,                 1.2682,                0.36622,                  0.288,                0.21594,                0.09771,                0.35843,                  0.276,                0.19228,                0.08775,                 1.9279,                  3.805,                 3.2303,                  1.959,              0.0014522,              0.0014522,              0.0014522
                     85,                0.92302,                 1.9243,                 1.1022,                 1.2235,                0.41587,                0.29617,                0.23786,                0.10181,                 0.3857,                  0.284,                0.20515,                0.09266,                 1.9493,                 3.9212,                 3.0867,                  1.938,              0.0014456,              0.0014456,              0.0014456
                     86,                 1.0049,                 2.0583,                 1.1892,                 1.2706,                0.53717,                  0.236,                 0.2329,                0.10833,                0.52449,                   0.22,                0.20137,                0.09226,                 1.9377,                 3.9039,                 3.0023,                 1.9485,               0.001439,               0.001439,               0.001439
                     87,                  1.019,                 2.1522,                 1.2648,                 1.2783,                0.47805,                  0.268,                0.24326,                0.10279,                0.48407,                   0.24,                0.20491,                0.08689,                 1.9764,                 4.0788,                  3.064,                 1.9902,              0.0014324,              0.0014324,              0.0014324
                     88,                 1.0248,                 1.8829,                 1.1892,                 1.2708,                0.32992,                  0.276,                0.22003,                0.10144,                0.32964,                  0.284,                0.20544,                 0.0905,                 2.0254,                 4.0427,                 3.2746,                 2.0006,              0.0014258,              0.0014258,              0.0014258
                     89,                 0.9497,                  2.004,                 1.0497,                 1.2065,                0.42268,                  0.204,                0.18952,                0.09175,                0.26527,                  0.236,                0.17343,                0.08229,                  2.097,                 4.0009,                 3.5762,                 2.0659,              0.0014192,              0.0014192,              0.0014192
                     90,                 1.0434,                 1.9872,                  1.131,                 1.2474,                  0.362,                  0.256,                0.20417,                0.08988,                0.35218,                  0.244,                0.19295,                0.08305,                 2.0261,                 3.7059,                 3.1065,                  2.043,              0.0014126,              0.0014126,              0.0014126
                     91,                0.98677,                 1.8106,                 1.0924,                 1.1868,                0.41025,                0.25043,                0.23023,                0.10067,                0.46679,                  0.244,                0.21809,                0.09192,                 2.0322,                 3.7394,                 3.0223,                  1.993,               0.001406,               0.001406,               0.001406
                     92,                 1.0167,                 1.8331,                  1.137,                  1.208,                0.32313,                  0.244,                0.20109,                0.07707,                0.28056,                  0.224,                0.15783,                0.06362,                 2.1488,                 3.9948,                 2.9947,                 2.0147,              0.0013994,              0.0013994,              0.0013994
                     93,                  1.085,                 2.0961,                 1.2895,                 1.2851,                0.31967,                  0.296,                0.20494,                0.07384,                0.27064,                   0.26,                 0.1647,                0.06285,                 2.1747,                 4.1658,                 2.9705,                  2.042,              0.0013928,              0.0013928,              0.0013928
                     94,                 1.1075,                 2.2621,                 1.3077,                 1.3087,                0.42629,                   0.24,                0.20464,                0.09101,                0.33637,                  0.236,                0.18111,                0.08146,                 2.0014,                 4.0112,                 2.9965,                 1.9432,              0.0013862,              0.0013862,              0.0013862
                     95,                0.99298,                 1.8755,                 1.1109,                 1.2227,                0.34039,                  0.244,                0.19586,                0.07897,                0.26834,                0.24353,                 0.1598,                0.06946,                 1.9879,                 3.8024,                 3.0425,                 1.9433,              0.0013796,              0.0013796,              0.0013796
                     96,                0.99835,                 2.0727,                 1.1248,                 1.2492,                0.30544,                   0.18,                0.15999,                0.06637,                0.21389,                  0.232,                0.13328,                0.05466,                 1.9756,                 3.7837,                 2.8962,                 1.8759,               0.001373,               0.001373,               0.001373
                     97,                 0.9211,                 1.9596,                 1.1113,                 1.1697,                0.29158,                  0.224,                0.16504,                 0.0655,                0.22399,                  0.204,                0.12837,                0.05278,                 2.1358,                 3.8527,                 2.9411,                 1.9772,              0.0013664,              0.0013664,              0.0013664
                     98,                0.92999,                 2.1368,                 1.1084,                 1.2031,                0.27542,                  0.288,                0.18525,                0.08212,                0.24459,                  0.248,                0.17113,                0.07429,                 2.1156,                 4.1556,                 3.3803,                 2.0183,              0.0013598,              0.0013598,              0.0013598
                     99,                 1.0485,                 2.0061,                 1.1552,                 1.2404,                0.37439,                  0.284,                0.22249,                0.09172,                0.35989,                   0.26,                0.20531,                0.08669,                 2.1464,                 4.1928,                 3.1582,                 2.0519,              0.0013532,              0.0013532,              0.0013532
                    100,                 1.0083,                 2.1021,                 1.0803,                 1.2283,                0.37172,                  0.328,                0.24631,                 0.1039,                0.37227,                  0.276,                0.23826,                0.09018,                 2.1638,                  3.977,                 2.9212,                 2.1458,              0.0013466,              0.0013466,              0.0013466
                    101,                 1.0089,                 1.8247,                  1.112,                 1.1941,                0.37517,                  0.332,                0.23339,                0.09907,                0.31082,                0.29586,                0.20576,                0.08322,                 2.1782,                 3.8808,                 3.1302,                 2.1637,                0.00134,                0.00134,                0.00134
