                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.0979,                 2.3259,                 1.5507,                 1.3164,                0.22948,                  0.228,                0.12829,                0.05905,                0.25258,                  0.192,                0.10128,                0.04036,                 2.1147,                 4.9519,                 3.4464,                  2.125,               0.001637,               0.001637,               0.001637
                     57,                 1.0733,                 2.2212,                 1.4173,                 1.3212,                 0.3109,                  0.244,                0.16273,                  0.075,                  0.268,                  0.212,                0.12512,                0.05056,                 2.0582,                 4.8011,                 3.1332,                 2.0405,              0.0016304,              0.0016304,              0.0016304
                     58,                 1.1488,                 2.3244,                 1.5384,                 1.4137,                0.29668,                  0.256,                0.16332,                0.07512,                0.26769,                  0.212,                0.13775,                0.06468,                 2.1884,                  4.314,                 3.2846,                 2.1579,              0.0016238,              0.0016238,              0.0016238
                     59,                 1.0509,                  2.142,                 1.3876,                 1.2812,                0.32891,                  0.248,                0.20315,                0.09475,                 0.2822,                   0.28,                0.20244,                0.08244,                 2.0925,                 4.0393,                 3.2136,                 2.0558,              0.0016172,              0.0016172,              0.0016172
                     60,                 1.0913,                 1.9501,                 1.3611,                 1.3082,                0.33252,                  0.292,                0.23819,                0.10586,                0.33252,                  0.292,                0.24684,                0.10056,                      2,                 3.6232,                 2.7588,                 1.9408,              0.0016106,              0.0016106,              0.0016106
                     61,                 1.1104,                 1.9747,                 1.3396,                 1.3093,                0.30121,                  0.232,                0.19726,                0.08733,                0.32362,                  0.244,                0.20542,                0.08753,                 2.0226,                 3.5497,                 2.8573,                 1.9799,               0.001604,               0.001604,               0.001604
                     62,                 1.0691,                  2.019,                 1.3654,                 1.3013,                0.40837,                    0.2,                0.17754,                0.07649,                0.43014,                  0.212,                0.18199,                 0.0784,                 2.0913,                 3.7263,                 3.1768,                  2.046,              0.0015974,              0.0015974,              0.0015974
                     63,                 1.1382,                 2.3376,                   1.44,                   1.34,                0.45759,                  0.236,                0.18826,                0.08184,                0.47516,                   0.24,                0.19753,                0.08396,                 2.0268,                 3.8848,                 3.1604,                 1.9929,              0.0015908,              0.0015908,              0.0015908
                     64,                 1.0943,                 2.0829,                  1.332,                 1.3508,                0.42557,                  0.268,                0.21723,                 0.0999,                0.53698,                  0.264,                0.23897,                 0.0968,                 2.0645,                 4.0432,                 3.3059,                 2.0524,              0.0015842,              0.0015842,              0.0015842
                     65,                 1.0613,                 1.9379,                 1.3044,                 1.3207,                0.42863,                  0.268,                 0.2311,                0.10734,                0.49378,                  0.264,                0.24197,                0.10273,                 2.0447,                 4.1272,                 3.2978,                  2.056,              0.0015776,              0.0015776,              0.0015776
                     66,                 1.0937,                 2.1865,                 1.3733,                 1.3224,                0.39804,                   0.28,                0.24256,                0.10222,                0.41862,                  0.272,                0.22612,                0.09243,                 2.1112,                 4.1041,                 3.0382,                 2.1135,               0.001571,               0.001571,               0.001571
                     67,                 1.1077,                 2.0578,                 1.3354,                 1.3035,                0.30452,                  0.264,                0.16702,                0.07655,                 0.3215,                0.20471,                0.15006,                 0.0609,                 2.1599,                 4.2505,                 3.5542,                 2.2122,              0.0015644,              0.0015644,              0.0015644
                     68,                 1.0407,                 1.9646,                  1.319,                 1.2592,                0.38452,                  0.204,                0.15156,                0.07194,                0.36258,                  0.192,                0.14767,                0.06356,                 2.1197,                 4.2583,                 3.8227,                 2.1472,              0.0015578,              0.0015578,              0.0015578
                     69,                  1.083,                 2.2827,                 1.4007,                 1.3522,                0.32422,                  0.324,                0.19853,                0.07891,                0.34923,                  0.292,                0.18548,                0.07043,                 2.0822,                 4.1571,                 3.5175,                  2.097,              0.0015512,              0.0015512,              0.0015512
                     70,                 1.0549,                 2.1721,                 1.3436,                 1.3052,                0.27001,                  0.244,                0.15111,                 0.0593,                0.26039,                  0.212,                0.13325,                0.05898,                 2.1846,                 3.8686,                 3.8933,                 2.1197,              0.0015446,              0.0015446,              0.0015446
                     71,                 1.0674,                 1.9872,                 1.3045,                 1.2881,                0.21453,                  0.216,                0.10579,                0.04429,                0.20799,                  0.176,                0.08855,                0.04049,                  2.245,                 3.9554,                 4.5794,                 2.2123,               0.001538,               0.001538,               0.001538
                     72,                 1.0681,                 1.9492,                 1.3044,                  1.304,                0.29931,                  0.288,                0.16719,                0.06866,                0.29336,                  0.272,                0.16385,                 0.0714,                 2.1024,                 3.6241,                  3.771,                 2.1154,              0.0015314,              0.0015314,              0.0015314
                     73,                 1.1638,                 2.1799,                 1.4664,                 1.3466,                 0.3053,                  0.288,                0.18227,                0.07778,                 0.3282,                  0.264,                0.18315,                0.08005,                 2.0689,                 3.5841,                  3.798,                 2.0886,              0.0015248,              0.0015248,              0.0015248
                     74,                 1.0726,                  2.286,                 1.4031,                 1.3476,                0.31339,                  0.244,                0.14349,                0.06092,                0.28415,                  0.232,                 0.1375,                0.06104,                  2.024,                  3.617,                 3.8454,                 2.0461,              0.0015182,              0.0015182,              0.0015182
                     75,                 1.0593,                 2.1253,                 1.4465,                 1.3558,                 0.2514,                  0.212,                0.11629,                0.04922,                 0.2604,                   0.22,                0.11223,                0.05023,                 1.9443,                 3.6544,                  3.924,                 1.9848,              0.0015116,              0.0015116,              0.0015116
                     76,                 1.0693,                 1.9815,                 1.4092,                 1.2645,                0.29395,                    0.2,                0.12574,                0.05752,                0.28807,                  0.196,                0.11528,                0.05379,                 2.0288,                 3.8056,                 3.8724,                 2.0912,               0.001505,               0.001505,               0.001505
                     77,                  1.045,                 2.2561,                 1.3156,                  1.288,                0.27468,                  0.224,                0.13457,                0.06411,                0.27281,                0.21909,                 0.1346,                0.06083,                 2.0216,                 3.7875,                 3.7642,                 2.0862,              0.0014984,              0.0014984,              0.0014984
                     78,                 1.1086,                 2.3819,                 1.3613,                 1.3756,                0.34414,                  0.344,                0.20096,                0.08987,                0.35417,                  0.356,                0.21791,                0.09056,                 1.9896,                 3.7221,                 3.1314,                 1.9908,              0.0014918,              0.0014918,              0.0014918
                     79,                 1.0641,                 2.0637,                 1.2308,                 1.2809,                 0.3318,                  0.364,                0.22513,                0.09733,                0.32924,                  0.356,                 0.2214,                0.09367,                 1.9846,                 3.7586,                 2.9882,                 1.9797,              0.0014852,              0.0014852,              0.0014852
                     80,                0.98628,                 1.9221,                 1.2133,                 1.2602,                0.40109,                0.28395,                0.21236,                0.09484,                0.37847,                  0.272,                0.18951,                0.08153,                 2.0017,                  3.914,                 3.4191,                 2.0763,              0.0014786,              0.0014786,              0.0014786
                     81,                 1.0038,                 1.8694,                 1.2064,                 1.2223,                0.32316,                  0.292,                0.19455,                0.08632,                 0.2983,                  0.284,                0.17647,                0.07164,                 2.0484,                  4.274,                 3.3764,                 2.1198,               0.001472,               0.001472,               0.001472
                     82,                 1.0167,                 2.0263,                  1.149,                 1.2156,                0.30572,                  0.272,                0.19354,                0.08962,                0.31895,                  0.276,                0.20906,                0.08562,                  2.089,                 3.9421,                 3.0826,                 2.0296,              0.0014654,              0.0014654,              0.0014654
                     83,                0.97807,                 1.9236,                 1.1762,                 1.2459,                0.27976,                   0.28,                 0.1774,                0.08098,                0.28304,                0.28424,                0.19941,                0.08187,                 2.0524,                  3.884,                 2.9997,                 2.0205,              0.0014588,              0.0014588,              0.0014588
                     84,                 1.0896,                 2.1793,                 1.2634,                 1.3123,                0.40929,                  0.188,                0.18683,                0.09176,                0.31525,                   0.22,                 0.1745,                0.08288,                 2.0148,                 4.2234,                 3.1632,                 2.0076,              0.0014522,              0.0014522,              0.0014522
                     85,                 1.0538,                 1.9347,                 1.2549,                 1.3066,                  0.388,                   0.24,                0.20456,                0.09765,                0.41275,                  0.232,                 0.1904,                0.08977,                 1.9966,                  4.042,                  3.037,                 1.9712,              0.0014456,              0.0014456,              0.0014456
                     86,                0.95494,                 1.8979,                 1.1734,                 1.2221,                0.39126,                0.22625,                 0.1763,                0.08588,                0.37841,                  0.216,                0.16657,                0.07858,                 2.0754,                 4.4646,                  3.455,                 2.1275,               0.001439,               0.001439,               0.001439
                     87,                 1.0254,                 1.8745,                 1.2478,                 1.2716,                0.40562,                  0.224,                0.17157,                0.08116,                0.38761,                  0.228,                 0.1729,                0.08043,                  2.092,                 4.5365,                 3.5209,                 2.1284,              0.0014324,              0.0014324,              0.0014324
                     88,                 1.0441,                  2.097,                 1.2393,                 1.2379,                0.37816,                  0.316,                0.25143,                0.11106,                 0.3678,                  0.296,                0.22968,                0.11035,                  1.972,                 3.9225,                 2.8859,                 1.9776,              0.0014258,              0.0014258,              0.0014258
                     89,                0.94307,                 1.8693,                  1.206,                 1.2199,                0.46868,                    0.3,                0.27144,                0.11626,                0.46188,                  0.276,                0.24642,                0.10964,                 2.0168,                 3.9423,                 2.8727,                 1.9843,              0.0014192,              0.0014192,              0.0014192
                     90,                   1.04,                 2.1148,                 1.2693,                 1.2916,                 0.4256,                  0.232,                0.19151,                0.08688,                0.39239,                  0.204,                0.17778,                0.07464,                 2.0663,                 5.2185,                 3.6064,                 2.1399,              0.0014126,              0.0014126,              0.0014126
                     91,                 1.0699,                 2.0381,                 1.2862,                 1.3159,                0.34468,                  0.284,                0.19482,                0.08915,                0.31749,                   0.24,                0.17657,                0.07662,                 2.0543,                 5.0154,                 3.4286,                  2.122,               0.001406,               0.001406,               0.001406
                     92,                 1.0124,                 2.0374,                 1.2979,                 1.2788,                0.32897,                  0.296,                 0.2271,                0.10474,                0.42045,                  0.232,                 0.2141,                0.08663,                 2.0705,                 4.1857,                 2.8661,                 2.0441,              0.0013994,              0.0013994,              0.0013994
